trm_cde,crs_comp1,crs_comp2,crs_comp3,crs_title,credit_hrs,monday_cde,tuesday_cde,wednesday_cde,thursday_cde,friday_cde,begin_tim,end_tim,last_name,first_name
10,ACCT,403,B,AUDITING,3,,T,,R,,11:30:00 AM,12:45:00 PM,DiDonato,Andrea
30,ACCT,404,A,ADVANCED AUDITING,3,M,,,,,6:30:00 PM,9:00:00 PM,DiDonato,Andrea
10,ACCT,405,A,TAX ACCOUNTING,3,,T,,R,,10:05:00 AM,11:20:00 AM,Snyder,Richard
10,ACCT,405,B,TAX ACCOUNTING,3,,T,,R,,1:00:00 PM,2:15:00 PM,Snyder,Richard
30,ACCT,406,A,ADVANCED TAX ACCT,3,,T,,R,,1:00:00 PM,2:15:00 PM,Snyder,Richard
30,ACCT,410,A,CONTEMP ACCT THEORY/PRACTICE,3,,T,,R,,8:00:00 AM,9:15:00 AM,McFeaters,Michelle
10,ART,101,A,ELEMENTS AND PRINCIPLES OF DRAWING,3,M,,W,,,10:00:00 AM,11:15:00 AM,Sanders,Glen
30,ART,103,A,CERAMICS I HANDBUILDING,3,,T,,R,,1:00:00 PM,2:15:00 PM,Rhoades,Kathy
10,ART,103,A,CERAMICS I HANDBUILDING,3,,T,,R,,1:00:00 PM,2:15:00 PM,Rhoades,Kathy
30,ART,104,A,CERAMICS I WHEEL,3,,T,,R,,10:05:00 AM,11:20:00 AM,Rhoades,Kathy
10,ART,104,A,CERAMICS I WHEEL,3,,T,,R,,10:05:00 AM,11:20:00 AM,Rhoades,Kathy
10,ART,104,B,CERAMICS I WHEEL,3,,T,,R,,2:30:00 PM,3:45:00 PM,Rhoades,Kathy
30,ART,104,B,CERAMICS I WHEEL,3,,T,,R,,2:30:00 PM,3:45:00 PM,Rhoades,Kathy
30,ART,105,A,INTRO TO COLOR THEORY IN PAINTING,3,M,,W,,,10:00:00 AM,11:15:00 AM,Sanders,Glen
10,ART,111,A,INTRODUCTION TO SCULPTURE,3,M,,W,,,11:30:00 AM,12:45:00 PM,Sanders,Glen
10,ART,121,A,BEGINNING PRINTMAKING,3,,T,,R,,11:30:00 AM,12:45:00 PM,Brutscher,Chandler
10,ART,201,A,HIST & APPREC OF ART I,3,,T,,R,,10:05:00 AM,11:20:00 AM,Carter,Beverly
30,ART,202,A,HIST & APPREC OF ART II,3,,T,,R,,10:05:00 AM,11:20:00 AM,Carter,Beverly
30,ART,207,A,CERAMICS II,3,,,W,,,3:00:00 PM,5:30:00 PM,Rhoades,Kathy
10,ART,208,A,PUEBLO POTTERY,3,,,W,,,3:00:00 PM,5:30:00 PM,Rhoades,Kathy
30,ART,320,A,GALLERY STUDIES,3,,T,,R,,11:30:00 AM,12:45:00 PM,Brutscher,Chandler
30,ART,321,A,THE USE OF ART IN THE CLASSROOM,1,,T,,,,4:00:00 PM,4:50:00 PM,Heisey,Natalie
10,ART,321,A,THE USE OF ART IN THE CLASSROOM,1,,T,,,,4:00:00 PM,4:50:00 PM,Heisey,Natalie
10,ASTR,206,A,INTRO TO SKY MOTIONS & PLANETS,3,M,,W,,F,1:00:00 PM,1:50:00 PM,Clem,James
10,ASTR,206,B,INTRO TO SKY MOTIONS & PLANETS,3,,,,,,,,Clem,James
30,ASTR,207,A,INTRO TO STARS/GALAXIES/COSMOLOGY,3,M,,W,,F,10:00:00 AM,10:50:00 AM,Clem,James
30,ASTR,207,B,INTRO TO STARS/GALAXIES/COSMOLOGY,3,M,,W,,F,1:00:00 PM,1:50:00 PM,Clem,James
30,ASTR,207,C,INTRO TO STARS/GALAXIES/COSMOLOGY,3,,,,,,,,Clem,James
10,ASTR,310,A,INTRODUCTION TO ASTROPHYSICS,3,M,,W,,,7:00:00 PM,8:15:00 PM,Clem,James
10,BIOL,101,A,GENERAL BIOLOGY I,4,M,,W,,F,9:00:00 AM,9:50:00 AM,Pazehoski,Kristina
10,BIOL,101,B,GENERAL BIOLOGY I,4,M,,W,,F,10:00:00 AM,10:50:00 AM,Pazehoski,Kristina
10,BIOL,101,L,LABORATORY,0,M,,,,,2:00:00 PM,4:59:00 PM,Antoszewski,Lisa
10,BIOL,101,M,LABORATORY,0,,T,,,,10:05:00 AM,12:59:00 PM,Lytle,Laurie
10,BIOL,101,N,LABORATORY,0,,T,,,,2:30:00 PM,5:29:00 PM,Strain,Joy
10,BIOL,101,O,LABORATORY,0,,,W,,,2:00:00 PM,4:59:00 PM,Strain,Joy
10,BIOL,101,P,LABORATORY,0,,,,R,,10:05:00 AM,12:59:00 PM,Lytle,Laurie
10,BIOL,101,Q,LABORATORY,0,,,,R,,2:30:00 PM,5:29:00 PM,Strain,Joy
30,BIOL,102,A,GENERAL BIOLOGY II,4,M,,W,,F,8:00:00 AM,8:50:00 AM,Dudt,Jan
30,BIOL,102,B,GENERAL BIOLOGY II,4,M,,W,,F,9:00:00 AM,9:50:00 AM,Dudt,Jan
30,BIOL,102,L,LABORATORY,0,M,,,,,2:00:00 PM,4:59:00 PM,Jenkins,Stephen
30,BIOL,102,M,LABORATORY,0,,T,,,,10:05:00 AM,12:59:00 PM,Strain,Joy
30,BIOL,102,N,LABORATORY,0,,T,,,,2:30:00 PM,5:29:00 PM,Dudt,Jan
30,BIOL,102,O,LABORATORY,0,,,,R,,2:30:00 PM,5:29:00 PM,Strain,Joy
30,BIOL,190,A,STUDY: INTRO TO BIOLOGY HEALTH,1,,,W,,,1:00:00 PM,2:59:00 PM,Farone,Tracy
10,BIOL,208,A,INTRO TO ENVIRONMENTAL EDUCATION,2,,T,,R,,5:00:00 PM,5:50:00 PM,McCullough,Jacqueline
10,BIOL,233,A,GENETICS,4,M,,W,,F,10:00:00 AM,10:50:00 AM,Antoszewski,Lisa
10,BIOL,233,B,GENETICS,4,M,,W,,F,11:00:00 AM,11:50:00 AM,Antoszewski,Lisa
10,BIOL,233,L,RECITATION,0,,T,,,,1:00:00 PM,2:15:00 PM,Antoszewski,Lisa
10,BIOL,233,M,RECITATION,0,,T,,,,1:00:00 PM,2:15:00 PM,Yowler,Brian
10,BIOL,233,N,RECITATION,0,,T,,,,2:30:00 PM,3:45:00 PM,Antoszewski,Lisa
10,BIOL,233,O,RECITATION,0,,T,,,,2:30:00 PM,3:45:00 PM,Yowler,Brian
30,BIOL,234,A,CELL BIOLOGY,4,M,,W,,F,10:00:00 AM,10:50:00 AM,Pazehoski,Kristina
30,BIOL,234,M,LABORATORY,0,,,,R,,10:05:00 AM,12:59:00 PM,Antoszewski,Lisa
30,BIOL,234,M,LABORATORY,0,,,,R,,10:05:00 AM,12:59:00 PM,Antoszewski,Lisa
30,BIOL,234,N,LABORATORY,0,,T,,,,2:30:00 PM,5:30:00 PM,Yowler,Brian
30,BIOL,234,N,LABORATORY,0,,T,,,,2:30:00 PM,5:30:00 PM,Yowler,Brian
30,BIOL,234,O,LABORATORY,0,,,,R,,2:30:00 PM,5:30:00 PM,Yowler,Brian
